owner_id,pin,year,raw_address,house,direction,street_name,street_type,address_key
022030800900002024,02203080090000,2024,4235 DIXON DR,4235,,DIXON,DR,4235 DIXON DR
010110001700002014,01011000170000,2014,115 DUNDEE AVE,115,,DUNDEE,AVE,115 DUNDEE AVE
161350300200002015,16135030020000,2015,1008 S WASHTENAW AVE,1008,S,WASHTENAW,AVE,1008 S WASHTENAW AVE
022110002700002024,02211000270000,2024,1507 APPLEBY RD,1507,,APPLEBY,RD,1507 APPLEBY RD
161350300200002016,16135030020000,2016,1008 S WASHTENAW AVE,1008,S,WASHTENAW,AVE,1008 S WASHTENAW AVE
022330203600002006,02233020360000,2006,318 S OAK ST,318,S,OAK,ST,318 S OAK ST
161350300200002017,16135030020000,2017,1008 S WASHTENAW AVE,1008,S,WASHTENAW,AVE,1008 S WASHTENAW AVE
161350300200002018,16135030020000,2018,1008 S WASHTENAW AVE,1008,S,WASHTENAW,AVE,1008 S WASHTENAW AVE
022330203600002007,02233020360000,2007,318 S OAK ST,318,S,OAK,ST,318 S OAK ST
161350300200002019,16135030020000,2019,1008 S WASHTENAW AVE,1008,S,WASHTENAW,AVE,1008 S WASHTENAW AVE
022330203600002008,02233020360000,2008,318 S OAK ST,318,S,OAK,ST,318 S OAK ST
161350300200002020,16135030020000,2020,1008 S WASHTENAW AVE,1008,S,WASHTENAW,AVE,1008 S WASHTENAW AVE
161350300200002021,16135030020000,2021,1008 S WASHTENAW AVE,1008,S,WASHTENAW,AVE,1008 S WASHTENAW AVE
022330203600002009,02233020360000,2009,318 S OAK ST,318,S,OAK,ST,318 S OAK ST
022330203600002010,02233020360000,2010,318 S OAK ST,318,S,OAK,ST,318 S OAK ST
161350300200002022,16135030020000,2022,1008 S WASHTENAW AVE,1008,S,WASHTENAW,AVE,1008 S WASHTENAW AVE
022211402600002024,02221140260000,2024,715 W KENILWORTH AVE,715,W,KENILWORTH,AVE,715 W KENILWORTH AVE
161350300200002023,16135030020000,2023,1008 S WASHTENAW AVE,1008,S,WASHTENAW,AVE,1008 S WASHTENAW AVE
022330203600002011,02233020360000,2011,318 S OAK ST,318,S,OAK,ST,318 S OAK ST
161350300200002024,16135030020000,2024,1008 S WASHTENAW AVE,1008,S,WASHTENAW,AVE,1008 S WASHTENAW AVE
022220201410222024,02222020141022,2024,132 W JOHNSON ST 306,132,W,JOHNSON ST 306,,132 W JOHNSON ST 306
022330203600002012,02233020360000,2012,318 S OAK ST,318,S,OAK,ST,318 S OAK ST
161350300300001999,16135030030000,1999,1009 S WASHTENAW AVE,1009,S,WASHTENAW,AVE,1009 S WASHTENAW AVE
031910400500002024,03191040050000,2024,1811 VERDE DR,1811,,VERDE,DR,1811 VERDE DR
031910802500002024,03191080250000,2024,1844 N PATTON AVE,1844,N,PATTON,AVE,1844 N PATTON AVE
161350300300002000,16135030030000,2000,1009 S WASHTENAW AVE,1009,S,WASHTENAW,AVE,1009 S WASHTENAW AVE
161350300300002001,16135030030000,2001,1009 S WASHTENAW AVE,1009,S,WASHTENAW,AVE,1009 S WASHTENAW AVE
161350300300002002,16135030030000,2002,1009 S WASHTENAW AVE,1009,S,WASHTENAW,AVE,1009 S WASHTENAW AVE
010110001700002015,01011000170000,2015,115 DUNDEE AVE,115,,DUNDEE,AVE,115 DUNDEE AVE
161350300300002003,16135030030000,2003,1009 S WASHTENAW AVE,1009,S,WASHTENAW,AVE,1009 S WASHTENAW AVE
022330203600002013,02233020360000,2013,318 S OAK ST,318,S,OAK,ST,318 S OAK ST
022330203600002014,02233020360000,2014,318 S OAK ST,318,S,OAK,ST,318 S OAK ST
022330203600002015,02233020360000,2015,318 S OAK ST,318,S,OAK,ST,318 S OAK ST
161350300300002004,16135030030000,2004,1009 S WASHTENAW AVE,1009,S,WASHTENAW,AVE,1009 S WASHTENAW AVE
161350300300002005,16135030030000,2005,1009 S WASHTENAW AVE,1009,S,WASHTENAW,AVE,1009 S WASHTENAW AVE
161350300300002006,16135030030000,2006,1009 S WASHTENAW AVE,1009,S,WASHTENAW,AVE,1009 S WASHTENAW AVE
031931902800002024,03193190280000,2024,1232 N RACE AVE,1232,N,RACE,AVE,1232 N RACE AVE
161350300300002007,16135030030000,2007,1009 S WASHTENAW AVE,1009,S,WASHTENAW,AVE,1009 S WASHTENAW AVE
010110001700002016,01011000170000,2016,115 DUNDEE AVE,115,,DUNDEE,AVE,115 DUNDEE AVE
022330203600002016,02233020360000,2016,318 S OAK ST,318,S,OAK,ST,318 S OAK ST
022330203600002017,02233020360000,2017,318 S OAK ST,318,S,OAK,ST,318 S OAK ST
022330203600002018,02233020360000,2018,318 S OAK ST,318,S,OAK,ST,318 S OAK ST
022330203600002019,02233020360000,2019,318 S OAK ST,318,S,OAK,ST,318 S OAK ST
010110001700002017,01011000170000,2017,115 DUNDEE AVE,115,,DUNDEE,AVE,115 DUNDEE AVE
010110001700002018,01011000170000,2018,115 DUNDEE AVE,115,,DUNDEE,AVE,115 DUNDEE AVE
022330203600002020,02233020360000,2020,318 S OAK ST,318,S,OAK,ST,318 S OAK ST
022330203600002021,02233020360000,2021,318 S OAK ST,318,S,OAK,ST,318 S OAK ST
022330203600002022,02233020360000,2022,318 S OAK ST,318,S,OAK,ST,318 S OAK ST
032041002300002024,03204100230000,2024,1021 E OLIVE ST,1021,E,OLIVE,ST,1021 E OLIVE ST
161350300300002008,16135030030000,2008,1009 S WASHTENAW AVE,1009,S,WASHTENAW,AVE,1009 S WASHTENAW AVE
161350300300002009,16135030030000,2009,1009 S WASHTENAW AVE,1009,S,WASHTENAW,AVE,1009 S WASHTENAW AVE
161350300300002010,16135030030000,2010,1009 S WASHTENAW AVE,1009,S,WASHTENAW,AVE,1009 S WASHTENAW AVE
022330203600002023,02233020360000,2023,318 S OAK ST,318,S,OAK,ST,318 S OAK ST
022330203600002024,02233020360000,2024,318 S OAK ST,318,S,OAK,ST,318 S OAK ST
161350300300002011,16135030030000,2011,1009 S WASHTENAW AVE,1009,S,WASHTENAW,AVE,1009 S WASHTENAW AVE
161350300300002012,16135030030000,2012,1009 S WASHTENAW AVE,1009,S,WASHTENAW,AVE,1009 S WASHTENAW AVE
010110001700002019,01011000170000,2019,115 DUNDEE AVE,115,,DUNDEE,AVE,115 DUNDEE AVE
161350300300002013,16135030030000,2013,1009 S WASHTENAW AVE,1009,S,WASHTENAW,AVE,1009 S WASHTENAW AVE
170921202810042024,17092120281004,2024,712 N DEARBORN ST 103,712,N,DEARBORN ST 103,,712 N DEARBORN ST 103
161350300300002014,16135030030000,2014,1009 S WASHTENAW AVE,1009,S,WASHTENAW,AVE,1009 S WASHTENAW AVE
010110001700002020,01011000170000,2020,115 DUNDEE AVE,115,,DUNDEE,AVE,115 DUNDEE AVE
161350300300002015,16135030030000,2015,1009 S WASHTENAW AVE,1009,S,WASHTENAW,AVE,1009 S WASHTENAW AVE
161350300300002016,16135030030000,2016,1009 S WASHTENAW AVE,1009,S,WASHTENAW,AVE,1009 S WASHTENAW AVE
