pin,ward,community_area,census_tract,zip
17104000431575,42,32,17031320101,60601
17104000431603,42,32,17031320101,60601
17153040501005,4,32,17031320600,60605
17153040501010,4,32,17031320600,60605
17153040501011,4,32,17031320600,60605
17153040501029,4,32,17031320600,60605
17153040501055,4,32,17031320600,60605
17153040501069,4,32,17031320600,60605
17153040501098,4,32,17031320600,60605
17153040501174,4,32,17031320600,60605
17153040501244,4,32,17031320600,60605
17153040501256,4,32,17031320600,60605
17153040501321,4,32,17031320600,60605
17153040501336,4,32,17031320600,60605
17153040501346,4,32,17031320600,60605
17153040501355,4,32,17031320600,60605
17153040501357,4,32,17031320600,60605
17153040501419,4,32,17031320600,60605
17153040501422,4,32,17031320600,60605
17153040501436,4,32,17031320600,60605
17153090331001,4,32,17031320600,60605
17162100170000,42,32,17031839100,60603
17162280140000,34,32,17031839100,60606
17164010220000,34,32,17031839000,
17172140161002,34,28,17031833100,60607
17172140161026,34,28,17031833100,60607
17172140161043,34,28,17031833100,60607
17322250010000,11,60,17031839700,60608
17331040560000,11,60,17031840000,60616
17331170060000,11,60,17031839700,60616
11191020240000,,,,60202
17331210550000,11,60,17031839800,60616
17333040300000,11,60,17031839900,60609
17334190210000,3,34,17031340600,
17341090520000,3,35,17031842000,
17341200620000,3,35,17031839500,60616
17343280130000,3,35,17031351400,60653
18011040460000,,,17031819100,60534
18011160290000,,,17031819100,60534
18013080590000,,,17031819200,60534
20231190230000,20,,,60637
18021070270000,,,17031819200,60534
18022060731004,,,17031819100,60534
18023090610000,,,17031819200,60534
18024060440000,,,17031819200,60534
18032080250000,,,17031819300,60513
18033100110000,,,17031819400,60513
18041120170000,,,17031819500,60525
18042330090000,,,17031819500,60525
18202000590000,,,17031820104,60525
11301060380000,,,17031810200,60202
18221090030000,,,17031820202,60525
18242050310000,,,17031820400,60501
18292020371002,,,17031820202,60525
18292020371038,,,17031820202,60525
18292030190000,,,17031820202,60525
18304070340000,,,17031820204,60527
18344010310000,,,17031820606,60458
18361120220000,,,17031820501,60455
18363040200000,,,17031820501,60455
18363130320000,,,17031820501,60458
19011100080000,12,58,17031580501,60632
19011320290000,12,58,17031580502,60632
19012110100000,12,58,17031580600,60632
