pin,address,housenumber,streetname,city,state,zip,units_res,land_class,building_class,owner_id,lat,lng
20091120360000,,,,,,60609,,202,202,,41.802782772080626,-87.64387945462677
20092190260000,,,,,,60609,,100,100,,41.80338296023697,-87.6324649385336
20094170600000,,,,,,60609,,211,211,,41.79623186755223,-87.63214239308125
20101080030000,4833 S MICHIGAN AVE,4833,MICHIGAN,CHICAGO,IL,60615,,EX,EX,201010800300002021,41.806492780539386,-87.62228556395496
13041130070000,,,,,,60646,,100,100,,41.99459078693268,-87.76718573712994
20102100421002,,,,,,60615,,299,299,,41.80748255314119,-87.61176213114203
20102100421003,,,,,,60615,,299,299,,41.80748255314119,-87.61176213114203
20103010030000,,,,,,60615,,EX,EX,,41.801483168312245,-87.62377930659524
20103020340000,,,,,,60615,,EX,EX,,41.799880657562426,-87.62145673414732
20103090050000,,,,,,60615,,100,100,,41.797687059465815,-87.62368571295326
20111020270000,,,,,,60615,,295,295,,41.8080485433164,-87.60249641782556
20111060161005,,,,,,60615,,299,299,,41.807207768243046,-87.60321534948724
20112120660000,,,,,,60615,,210,210,,41.80338111819677,-87.59323112253867
20302130470000,,,,,,60636,,211,211,,41.761571392771586,-87.66651120788617
13043030740000,,,,,,60646,,203,203,,41.98614840429025,-87.76793303107947
20302210030000,,,,,,60636,,211,211,,41.76097787167329,-87.66701066203703
20304100170000,,,,,,60620,,203,203,,41.75603276651421,-87.66566333530311
20312080310000,,,,,,60620,,211,211,,41.74784895283523,-87.6722164208248
20312150120000,,,,,,60620,,100,100,,41.74736854162055,-87.66422547624909
20313160110000,,,,,,60620,,211,211,,41.740163468824164,-87.67376857235003
20314130450000,,,,,,60620,,205,205,,41.73965770972338,-87.66473104391241
20321250150000,,,,,,60620,,203,203,,41.74352737124792,-87.6617038544034
20322000240000,,,,,,60620,,211,211,,41.749274653233215,-87.65284474892123
20322010010000,,,,,,60620,,EX,EX,,41.75026561284498,-87.65229663938906
25252090140000,,,,,,,,EX,EX,,41.67089555220588,-87.56735297604413
20322090120000,,,,,,60620,,203,203,,41.74739653469329,-87.6520949258493
20322280190000,,,,,,60620,,211,211,,41.744798140841745,-87.64665021022319
20323210080000,,,,,,60620,,205,205,,41.738804616710325,-87.65550224540678
20331100030000,,,,,,60620,,100,100,,41.748558543598335,-87.64118956735244
20342120060000,,,,,,60619,,211,211,,41.74875356104538,-87.60966663293318
20343230060000,,,,,,60619,,206,206,,41.73774467911183,-87.61568922147552
20351240850000,,,,,,60619,,205,205,,41.74471204227685,-87.59649555537602
23251130200000,,,,,,60463,,203,203,,41.67328996108051,-87.81340495475081
23253000190000,,,,,,60464,,203,203,,41.661706588080975,-87.812446697458
25281160340000,,,,,,60628,,202,202,,41.672970498219485,-87.6408935146371
23253001270000,,,,,,60464,,204,204,,41.66308030504998,-87.81214835491511
23322130210000,,,,,,60464,,278,278,,41.652012346562714,-87.88170853846265
23331020060000,,,,,,60464,,234,234,,41.65682807235235,-87.86634265370179
23332000530000,,,,,,60464,,295,295,,41.65734577022472,-87.85545153848187
23334010130000,,,,,,,,EX,EX,,41.6503873008748,-87.85655271734295
23343040240000,,,,,,60462,,295,295,,41.64775379474046,-87.85209866986526
23362020040000,,,,,,60463,,278,278,,41.660295718871204,-87.80004214525857
24011020450000,,,,,,60805,,203,203,,41.733755085861304,-87.6988831345715
24013130410000,,,,,,60805,,203,203,,41.724665486736285,-87.69364757386177
25284070220000,,,,,,60628,,202,202,,41.668226303247565,-87.62990192726065
